Detail of Gifts,Item Category,Name of Recipient,Affiliation,Date,Assessed Value,Retention Cost,Retained,Remarks
"One  Book  Title”
Chronicle  of
Malaysia”,  One
pumpkin  Fruit
Trinket  Box  &  One
Pending  (Buckle)
Framed",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,5/11/2010,0,0,Yes,Yes
"Two  photograph  of
the  President  with
the  President  of
Turkey, Afghanistan",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,5/11/2010,0,0,Yes,Yes
"Six  books  titled”
Benazir  Bhutto
Reconciliation”",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,5/11/2010,0,0,Yes,Yes
"Two books
One  Book  titled“
Muslim  History  &
Civilization”",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,5/11/2010,0,0,Yes,Yes
"One  Box  containing
Acron Piece",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,5/11/2010,0,0,Yes,Yes
"One  Ceramic  Vase
(Red)",Decoration Pieces,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,5/11/2010,2000,0,Yes,Yes
"One  Wooden  Box
containing  Cigars
(24 pcs)",Cigar/Cigarettes,"Mr. Asif  Ali  Zardari,
President of Pakistan",PPP,5/11/2010,24000,2100,Yes,Yes
"One  Souvenir
(Golden  Plate  with
Picture  of  Three
Gorges Dam)",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,5/11/2010,0,0,Yes,Yes
"One Two  Side
Picture of Panda",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,5/11/2010,1500,0,Yes,Yes
One Album,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,5/11/2010,0,0,Yes,Yes
"One  book  titled
“Govt  Art  Collection”
and  two  pens
(Parker)",Pen,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,5/11/2010,10000,0,Yes,Yes
One Steel Box,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,5/11/2010,1500,0,Yes,Yes
"Wrist  Watch  with
pen,  Tie  &  Cufflinks
(Van der Bauwede)",Watch,"Mr.  Javed  Akhtar,
Controller News, PBC",Media,5/11/2010,40000,4500,Yes,Yes
"Five  books,  two
magazine  &  two
Registration  Forms
of  Delhi  Sustainable
Development
Summit 2009",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,5/11/2010,0,0,Yes,Yes
"One  Sword  with
Stand",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,5/11/2010,4000,0,Yes,Yes
"One  Souvenir  (gold
plated)",,"Mr. Muhammad Ahsan
Raja,  Additional
Secretary,  Ministry  of
Interior",Bureaucracy,6/30/2010,20000,1500,Yes,Yes
"One  Decoration
Jewelry Box",Decoration Pieces,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,6000,0,Yes,Yes
"One  Wooden  Box
containing Tea Mats",Crockery,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,2000,0,Yes,Yes
One Shield Brass,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,3000,0,Yes,Yes
"One  Diary,  one
Phone  Index  and
one Notepad",Phone,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,0,0,Yes,Yes
"a. One
Decorated Jar
b. one Decorated
Tray",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,9000,0,Yes,Yes
"One  Decorated
Wooden Box",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,1500,0,Yes,Yes
"One  Flowered
Picture on Cloth",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,5500,0,Yes,Yes
"One  Picture  on
Marble Slabs",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,2500,0,Yes,Yes
"One  Marble
Decorated Jar",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,4500,0,Yes,Yes
One (small) Carpet,Carpet,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,15000,750,Yes,Yes
One Shield (Glass),,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,0,0,Yes,Yes
"One  Wall  Hanging
Calendar 2010",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,0,0,Yes,Yes
"One  Award  for
Mohtarma  Benazir
Bhutto",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,0,0,Yes,Yes
"a. Two books
b. Two  Ceramic
Vases",Decoration Pieces,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,8000,0,Yes,Yes
One Album,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,0,0,Yes,Yes
Two Qur’an Pak,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,0,0,Yes,Yes
Two Souvenirs,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,0,0,Yes,Yes
"One  Wooden
Decorated  Box
containing  Project
Design  of  Shaheeda
Benazir  Bhutto
Auditorium,
Damascus",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,5500,0,Yes,Yes
"One  Silver  Fruit
Basket",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,70000,9000,Yes,Yes
"One  Tumbler  Glass
Made",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,2000,0,Yes,Yes
One Framed Picture,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,6500,0,Yes,Yes
One Ceramic Vase,Decoration Pieces,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,2500,0,Yes,Yes
One Ceramic Vase,Decoration Pieces,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,2500,0,Yes,Yes
One Ceramic Vase,Decoration Pieces,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,6000,0,Yes,Yes
"One China Intangible
Cultural Souvenir",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,0,0,Yes,Yes
"One  Wooden  Menu
Card",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,0,0,Yes,Yes
"One  Scenery  on
Cloth",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,9000,0,Yes,Yes
One Menu of Dinner,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,0,0,Yes,Yes
One Metal plate,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,5000,0,Yes,Yes
One Ceramic Plate,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,3500,0,Yes,Yes
Two Shirts,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,2000,0,Yes,Yes
"Onex  4”  Souvenir
“JICA”",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,0,0,Yes,Yes
"One  Ceramic  Table
Watch",Watch,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,2500,0,Yes,Yes
Three Books & 4 CDs,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,0,0,Yes,Yes
"One  Ceramic  box
(small)",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,1200,0,Yes,Yes
"One Book Titled “The
Occupation of Iraq”",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,0,0,Yes,Yes
One Book “Brussels”,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,0,0,Yes,Yes
Two Sceneries,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,9000,0,Yes,Yes
"One  Frame  JINSHA
(The  Sun  &  Godly
Bird)",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,6000,0,Yes,Yes
One model,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,0,0,Yes,Yes
"One  Book  “Treasure
Houses”",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,0,0,Yes,Yes
"One  Remington
Statue",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,8500,0,Yes,Yes
One Ceramic Vase,Decoration Pieces,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,3000,0,Yes,Yes
"One  Cigar  Box
(Green)",Cigar/Cigarettes,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,10000,0,Yes,Yes
One Book,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,0,0,Yes,Yes
"One  Table  Clock
(Golden)",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,7500,0,Yes,Yes
One Carpet,Carpet,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,7/22/2010,17000,1050,Yes,Yes
"a. Wrist  Watch
Esteema
b. One  Bracelet  in
Gold & Diamond",Watch,"Mr. Nazar Muhammad
Gondal  Minister  for
Food,  Agriculture  &
livestock",,8/11/2010,0,24300,Yes,Yes
"a. One  wrist  watch,
gent’s,
b. One  wrist  watch
ladies
c. Lady’s Ring
d. Pair of Ear Ring
e. One Bracelet
f. Pair of studs
g. One pen",Watch,"Mr.  Jahangir  Badar
PPP Senator",,8/20/2010,291500,0,Yes,Yes
"One  carpet
(Handmade)",Carpet,"Mr.  Nazar  Mohammad
Gondal,  Minister  for
Food and Agriculture",,9/17/2010,9000,0,Yes,Yes
One bowl,,"Mr.  Ghalib  Iqbal,
Chief  of  Protocol,
Foreign Affairs",Military,10/1/2010,8500,0,Yes,Yes
"One
Calligraphy/Painting
(Wooden Frame)",,"Mr.  Mian  Muhammad
Shehbaz  Sharif,  Chief
Minister, CM Punjab",PMLN,10/6/2010,40000,0,Auctioned,"Auctioned for
Rs.40,750/-"
One Bowl (Silver),,"Mr.  Ghalib  Iqbal,
Chief  of  Protocol
Foreign Affairs,",Military,10/18/2010,30000,3000,Yes,Yes
"One  Packet
containing  Table
Cloths,  Two  Metal
Surahi,  Two
perfumes,  one
necklace,  one",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,11/11/2010,80800,10620,Yes,Yes
"Wrist  Watch  with
pen, Tie & Cufflinks
(Van der Bauwede)",Watch,"Mr. Musaddiq Kaleem,
News  Reporter,  PTV
News",Media,11/22/2010,40000,4500,Yes,Yes
"One Metal  Show
Piece  (PUTER)
(Depicting  Elephant
on it)",,"Mr.  Sibtain  Fazal
Halim,  Secretary,
Economic  Affairs
Division (EAD)",Bureaucracy,11/23/2010,8500,0,Auctioned,"Auctioned for
Rs.9,540/-"
"One  piece  of  Art
Work duly framed",,"Brig.  Nasir  Dilawar
Shah,  Military
Secretary  to  Prime
Minister (MS to PM)",Military,11/30/2010,500,0,Yes,Yes
"One  Digital  Camera
AIGO  (W120)  with
accessories (i.e. 2GB
Memory  Card,
Charger,  battery
camera  Cover  and
data cables etc)",,"Dr.  Abdul  Hafeez
Sheikh,  Minister  for
Finance,  Revenue,
Economic Affairs  and
Statistics",,12/2/2010,14000,0,Auctioned,"Auctioned for
Rs.15,015/-"
"One  Tea  Set  (Bone
China  Coffee  Set
(Feather  of  a
Peacock))",Crockery,Chairman Senate,,12/23/2010,8000,0,Yes,Yes
"Two  Tea  Pots
(Caparison,
Elephants  with  Tea)
(small)",Crockery,"Mr.  Afrasiab,  Director
General  (South  Asia)
Foreign Affairs",,12/24/2010,1000,0,Auctioned,"Auctioned for
Rs.2,510/-"
"One  Wrist  Watch
Hamilton  H324150
Swissmade Chain",Watch,"Mr.  Rauf  Klasra,
Editor",,12/28/2010,0,0,"Gift deposited in
Toshakhana","Gift deposited in
Toshakhana"
"Wrist  Watch  Van  der
Bauwede  with  pen,
Tie & Cufflinks",Watch,"Mr.  Salahuddin  Malik,
Chief  Cameraman,
PTV",Media,12/29/2010,40000,4500,Yes,Yes
"One  Lacquer  Box
(Empty)",,"Foreign  Secretary  of
Pakistan",Bureaucracy,1/4/2011,9000,0,Yes,Yes
One Decoration Tray,Decoration Pieces,"Ch.  Ahmad  Mukhtar,
Federal  Minister  for
Defence",,1/4/2011,25000,2250,Yes,Yes
"One  Lacquer  Box
(Empty)",,"Mr.  M  Shabbir  Anwar,
Press  Secretary  to  the
Prime Minister",Bureaucracy,1/8/2011,9000,0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"Brig Nasir  Dilawar  Shah,
Military  Secretary  to  the
Prime Minister ",Military,1/8/2011,9000,0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"Brig  Raja  Samiullah,
Personal  Physician  to  the
Prime Minister",Military,1/8/2011,9000,0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"Lt.  Col.  Naveed  Malik,
Director  Security  to  the
Prime Minister",Military,1/8/2011,9000,0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"Maj Faisal Nawaz, ADC to
the Prime Minister,",Military,1/8/2011,9000,0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"Inspector Farooq Ahmed,
Police  Gunman  to  Prime
Minister",,1/8/2011,9000,0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"ASI  Fakhar  Maqbool,
Police  Gunman  to  Prime
Minister",,1/8/2011,9000,0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"H/Constable  M.  Ishaq,
Police  Gunman  to  Prime
Minister",,1/8/2011,9000,0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"H/Constable  M.  Yameen
Khan,  Police  Gunman  to
Prime Minister",,1/8/2011,9000,0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"H/Constable  M.  Riaz,
Police  Gunman  to  Prime
Minister",,1/8/2011,9000,0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"Constable  Hamad  Raza,
Police  Gunman  to  Prime
Minister",,1/8/2011,9000,0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"Constable  Salahuddin,
Police  Gunman  to  Prime
Minister",,1/8/2011,9000,0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"Constable  M.  Saghir,
Police  Gunman  to  Prime
Minister",,1/8/2011,9000,0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"Constable  Faqir  Shah,
Police  Gunman  to  Prime
Minister",,1/8/2011,9000,0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"NK  Nasir  Mehmood,  SSG
Gunman  to  Prime
Minister",,1/8/2011,9000,0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"Sep.  Irfan-ul  Haq,  SSG
Gunman  to  Prime
Minister",,1/8/2011,9000,0,Yes,Yes
"One  Lacquer  Box
(Empty)",,"Sep.  Shahid  Ibrar,  SSG,
Gunman  to  Prime
Minister",,1/8/2011,9000,0,Yes,Yes
"Wrist  Watch  Van  der
Bauwede with pen, Tie &
Cufflinks",Watch,"Mr.  Abdul  Ghaffar,  TV
Engineer",Media,1/8/2011,0,0,Yes,Yes
"a. One Dinner Set
b. One  Photograph
(duly framed)",,"Mr.  Asif  Ali  Zardari,
President of Pakistan.",PPP,1/21/2011,0,0,Yes,Yes
"One  Book  “Terrorism
and National Security”",,"Mr.  Asif  Ali  Zardari,
President of Pakistan.",PPP,1/21/2011,0,0,Yes,Yes
a. One Kettle,,"Mr.  Asif  Ali  Zardari,",PPP,1/21/2011,16500,975,Amount,Amount
"One  Model  of  Elephant
(small)",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,1/21/2011,7000,0,Yes,Yes
"One  Model  of  Elephant
(Medium)",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,1/21/2011,10000,0,Yes,Yes
One Silver Tray,,"Mr.  Salman  Faruqui,
Secretary  General  to  the
President",Bureaucracy,1/21/2011,9000,0,Yes,Yes
Two Small Elephants,,"Mr.  Farhatullah  Baber,
Spokesman  to  the
President",,1/21/2011,800,0,Yes,Yes
One Decoration Piece,Decoration Pieces,"Brig.  Syed  M.  Adnan,
Military  Secretary  to  the
President  (MS  to  the
President)",Military,1/21/2011,2500,0,Yes,Yes
One Decoration Tray,Decoration Pieces,Mr. Owais Muzafar,,1/21/2011,1200,0,Yes,Yes
One Silver Tray,,"Mr.  Farukh  Akhtar  Jamil,
Additional  Secretary,
Foreign Affairs",Bureaucracy,1/21/2011,13500,525,Yes,Yes
One Cup containing Tea,Crockery,"Dr.  Asim  Hussain,
Personal  Physician  to  the
President",,1/21/2011,2500,0,Yes,Yes
One Cup containing Tea,Crockery,"Brig.  M.  Iftikhar
Mansoor,  Director
General",Military,1/21/2011,2500,0,Yes,Yes
"Three  Tins  containing
Tea",Crockery,"Capt.  (PN)  Amir  Saeed,
Deputy Military Secretary
to the President
(DMS to the President)",Bureaucracy,1/21/2011,3000,0,Yes,Yes
One Cup Containing Tea,Crockery,"Sq.  Ldr.  Malik  Jalal
Farooq,  ADC  to  the
President",Military,1/21/2011,2500,0,Yes,Yes
One Cup Containing Tea,Crockery,"Lt.  Col.  Baber  Mumtaz,
Chief  Security  Officer  to",Military,1/21/2011,2500,0,Yes,Yes
"a. One Shield,
b. One Fountain Pen,
c. Box  containing  Two
coins  (i.e.  one  Gold
coin  in  22kt  +  One
Silver Coin)
d. Three  books  &  one
Letter Pad,
e. One Carpet (small),
f. One Shield (Tapi Gas
Pipe Line)",Carpet,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,1/21/2011,10000,22687,Yes,Yes
One Carpet,Carpet,"Mr.  Asif  Ali  Zardari,
President of Pakistan.",PPP,1/21/2011,20000,1500,Yes,Yes
One Decoration Piece,Decoration Pieces,"Mr.  Asif  Ali  Zardari,
President of Pakistan.",PPP,1/21/2011,2000,0,Yes,Yes
"One  Decoration  Marble
Piece",Decoration Pieces,"Mr.  Asif  Ali  Zardari,
President of Pakistan.",PPP,1/21/2011,2500,0,Yes,Yes
One Decoration Marble,Decoration Pieces,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,1/21/2011,2500,0,Yes,Yes
One Ceramic Bowl,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,1/21/2011,6000,0,Yes,Yes
One White Bowl,,"Mr.  Asif  Ali  Zardari,
President of Pakistan.",PPP,1/21/2011,3500,0,Yes,Yes
"One  Wooden  Screen  (7
pcs)",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,1/21/2011,70000,9000,Yes,Yes
"One  Mobile  Set  Huawei
U8230  alongwith
accessories",,"Dr. Abdul Hafeez Shaikh,
Minister Finance,",,2/9/2011,20000,0,Auctioned,"Auctioned for
Rs.16,005/-"
Two Stamp Albums,,"Dr. Abdul Hafeez Shaikh,
Minister Finance,",,2/9/2011,5000,0,Yes,Yes
"One  Silver  Plate
(Decoration Piece)",Decoration Pieces,"Makhdoom  Shah
Mahmood  Qureshi,
Minister  for  Foreign
Affairs",,2/9/2011,25000,2250,Yes,Yes
"One  Decoration  piece
(half  figure  Horse
(Sphinx-Head (Horn)",Decoration Pieces,"Makhdoom  Shah
Mehmood Qureshi
Foreign Affairs Minister",,2/9/2011,9000,0,Yes,Yes
"One  Gift  Pack
Containing  (Perfume
Kit): -
(i.e.  Perfume,  Luban
dan,  Body  Spray  Body
Gel,  Lighter,  Coke  and
small  Pieces  of  Ood
Wood)",,"Mr. Rafaqat Hussain, PTV
Engineer,  Prime  Minister
Media Team",Media,2/24/2011,75000,9750,Yes,Yes
"One  Gift  Pack
Containing  (Perfume
kit): -
(i.e.  Perfume,  Luban
dan,  Body  Spray  Body
Gel,  Lighter,  Coke  and
small  Pieces  of  Ood
Wood.",,"Mr.  Hidayatullah  Abro,
Prime  Minister  Media
Team, (Cameraman)",Media,2/24/2011,75000,9750,Yes,Yes
"One Wrist Watch Certina
(Gents) (Rubber Strape)
(S/Steel)  (quartz)
(No.C011417A)",Watch,"Brig.  Raja  Samiullah,
Personal  Physician  to
Prime Minister",Military,2/25/2011,45000,5250,Yes,Yes
"One  Carpet  (Wall
Hanging)  (Handmade)
(Bokhara) (Red)",Carpet,"Mr.  Farooq  H.  Naek,
Chairman Senate",,2/28/2011,0,0,Yes,Yes
"One Wrist Watch Vander
Bauwede  with  one  Pair
of  Cufflinks  &  one  Ball
Pen",Watch,"Mr. Ghalib Iqbal, Chief of
Protocol, Foreign Affairs",Military,3/1/2011,45000,5250,Yes,Yes
"One  Gift  Pack
Containing  (Perfume
kit): -
(i.e.  Perfume,  Luban
dan,  Body  Spray  Body
Gel,  Lighter,  Coke and
small  Pieces  of  Ood
Wood)",,"Brig. Nisar Dilawar Shah,
Military  Secretary  to
Prime Minister",Military,3/1/2011,75000,0,Auctioned,"Auctioned for
Rs.45,000/-"
One Wrist Watch Certina,Watch,"Mr.  Faisal  Niaz  Tirmizi,
DCP, Foreign Affairs",,3/1/2011,45000,5250,Yes,Yes
"One  Gift  Pack
Containing  (Perfume
kit): -
(i.e.    Perfume,  Luban
dan,  Body  Spray  Body
Gel,  Lighter,  Coke  and
small  Pieces  of  Ood
Wood.",,"Mr.  Adeel  Ahmed  Khan,
Protocol  Officer,  Foreign
Affairs",,3/1/2011,75000,9750,Yes,Yes
"One Wrist Watch Certina
(No.536.7129.12.66)",Watch,"Mr.  Muhammad  Abdul
Wahid  Khan,  Additional
Press  Secretary  to  Prime
Minister",Bureaucracy,3/2/2011,45000,0,Yes,Yes
"One Wrist Watch Vander
Bauwede  (Geneve
Magnum  Cal.75
(432/500) Sr.No.(N0275
005  0932 – Swiss
Made))  with  Pair  of
Cufflinks & one Ball Pen",Watch,"Mr.  Saleem  Mandviwalla,
Chairman BOI",,3/2/2011,45000,5250,Yes,Yes
"One  Gift  Pack
Containing:
a. Valet
b. One Ball Pen &",Pen,"Mr. Ghalib Iqbal, Chief of
Protocol, Foreign Affairs",Military,3/3/2011,8000,0,Yes,Yes
"One  Gift  Pack
Containing  Valet,  One
Ball  Pen  &  one  Pair  of
Cufflinks",Pen,"Mr.  Faisal  Niaz  Tirmizi,
Deputy  Chief  of  Protocol,
Foreign Affairs",Military,3/3/2011,8000,0,Yes,Yes
"One  Gift  Pack
Containing  Valet,  One
Ball  Pen  &  one  Pair  of
Cufflinks",Pen,"Mr.  Adeel  Ahmed  Khan,
Deputy  Chief  of  Protocol,
Foreign Affairs",Military,3/3/2011,8000,0,Yes,Yes
"One  Gift  Pack
Containing  (Perfume
kit): -
(i.e.    Perfume,  Luban
dan,  Body  Spray  Body
Gel,  Lighter,  Coke  and
small  Pieces  of  Ood
Wood.",,"Sub  Inspector
Muhammad  Manzoor
(Gunman),  Prime
Minister Office",,3/7/2011,75000,9750,Yes,Yes
"One  Gift  Pack
Containing  (Perfume
kit): -
(i.e.  Perfume,  Luban
dan,  Body  Spray  Body
Gel,  Lighter,  Coke  and
small  Pieces  of  Ood
Wood.",,"Head  Constable
Muhammad  Ishaq,  Prime
Minister Office",Police,3/7/2011,75000,9750,Yes,Yes
"One  Gift  Pack
Containing  (Perfume
kit): -
(i.e.Perfume,  Luban
dan,  Body  Spray  Body
Gel,  Lighter,  Coke  and
small  Pieces  of  Ood
Wood.",,"NK  Nasir  Mahmood,
Prime Minister Office",Military,3/7/2011,75000,9750,Yes,Yes
One  Gift  Pack,,"Constable  Faqir  Shah,",Police,3/7/2011,75000,9750,Amount,Amount
"One  Gift  Pack
Containing  (Perfume
kit): -
(i.e.Perfume,  Luban
dan,  Body  Spray  Body
Gel,  Lighter,  Coke  and
small  Pieces  of  Ood
Wood.",,"Constable  Raziq
Mehmood, Prime Minister
Office",Police,3/7/2011,75000,9750,Yes,Yes
"One  Gift  Pack
Containing  (Perfume
kit): -
(i.e.  Perfume,  Luban
dan,  Body  Spray  Body
Gel,  Lighter,  Coke  and
small  Pieces  of  Ood
Wood.",,"Constable  Muhammad
Saghir,  Prime  Minister
Office",Police,3/7/2011,75000,9750,Yes,Yes
"One  Gift  Pack
Containing  (Perfume
kit): -
(i.e.  Perfume,  Luban
dan,  Body  Spray  Body
Gel,  Lighter,  Coke  and
small  Pieces  of  Ood
Wood.",,"Constable  Hamad  Raza,
Prime Minister Office",Police,3/7/2011,75000,9750,Yes,Yes
"a. One  I-Pad  with  Key
Board,  Data  Cable  &",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,3/11/2011,52500,158250,Yes,Yes
One Model of Horses,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,3/11/2011,10000,0,Yes,Yes
Four Books,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,3/11/2011,0,0,Yes,Yes
"a. One Model,
b. One Book,
c. One stamp Album",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,3/11/2011,3000,0,Yes,Yes
"One Wall Photo,
One  Model  (made  of
chocolate)",,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,3/11/2011,1500,0,Yes,Yes
One Painting,,"Mr.  Asif  Ali  Zardari,
President of Pakistan",PPP,3/11/2011,10000,0,Yes,Yes
"One  Packet  containing
Pair  of  Cufflinks,  Pen  &
Wallet",Pen,"Mr.  Malik  Asif  Hayat,
Secretary  to  the
President",Bureaucracy,3/11/2011,8000,0,Yes,Yes
"One  Packet  Containing
Necklace,  Bracelet,
Earrings & Ring",,"Brig.  Syed  M.  Adnan,
Military  Secretary  to  the
President",Military,3/11/2011,270000,39000,Yes,Yes
"One  Packet  Containing
Wrist  Watch,  Magnifier,
Screw,  Spare  Strips  &
booklet",Watch,"Capt  (PN)  Amir  Saeed,
DMS  to  the  President,
Deputy Military Secretary
to the President",Military,3/11/2011,70000,9000,Yes,Yes
"One  Packet  Containing
Wrist  Watch,  Magnifier,
Screw,  Spare  Strips  &
booklet",Watch,"Maj.  Imran  Hyder,  ADC
to the President",Military,3/11/2011,70000,9000,Yes,Yes
"One  Packet  Containing
Wrist  Watch,  Magnifier,
Screw,  Spare  Strips  &",Watch,"Syed  Salman  Shah,  ADC
to the President",,3/11/2011,70000,9000,Yes,Yes
"One  Packet  Containing
Pair  of  Cufflinks,  Pen  &
Wallet",Pen,"Dr.  Asim  Hussain,
Personal  Physician  to  the
President",,3/11/2011,8000,0,Yes,Yes
"One  Packet  Containing
Pair  of  Cufflinks,  Pen  &
Wallet",Pen,"Brig.  Iftikhar  Mansoor,
DG(S), President Sectt.",Military,3/11/2011,8000,0,Yes,Yes
"One  Packet  Containing
Pair  of  Cufflinks,  Pen  &
Wallet",Pen,"Lt.  Col.  Baber  Mumtaz,
CSO to the President",Military,3/11/2011,8000,0,Yes,Yes
"One  Packet  Containing
Pair of  Cufflinks,  Pen  &
Wallet",Pen,"Maj.  Muhammad
Shakeel,  Staff  Officer  to
the President",Military,3/11/2011,8000,0,Yes,Yes
"One  Packet  Containing
Pair  of  Cufflinks,  Pen  &
Wallet",Pen,"Mr.  Bilal  Shaikh,  Staff
Officer to the President",,3/11/2011,8000,0,Yes,Yes
"One  Packet  Containing
Pair  of  Cufflinks,  Pen  &
Wallet",Pen,"Mr.  Afaq  Ahmed,
Assistant,  President
Secretariat.",,3/11/2011,8000,0,Yes,Yes
"One  Packet  Containing
Pair  of  Cufflinks,  Pen  &
Wallet",Pen,"Mr.  Mushtaq  Ahmed,
Valet,  President
Secretariat.",,3/11/2011,8000,0,Yes,Yes
"One  Packet  Containing
Pair  of  Cufflinks,  Pen  &
Wallet",Pen,"Mr.  Ali  Bux  Ansari,  Cook,
President Secretariat.",,3/11/2011,8000,0,Yes,Yes
