,Gift_detail,Item_category,Recipient_name,Affiliation,Date,Assessed_value,Retention_cost,Retained,Remarks
1670,a. One  wall  hanging (Chinese) b. One tie c. One  ball  pen  Mont Blanc d. One  Round Decoration piece,Decoration Pieces,"Mr.  Nawid  Ahsan, Secretary  General, Finance",Bureaucracy,2006-11-11,21400.0,1710.0,Yes,Yes
1681,"One  table  set (containing  Chit  Pad, ball  Point  &  Pencil tray)",Pen,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2006-11-21,3500.0,0.0,Yes,Yes
1683,One  Wooden  flower vase,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2006-11-23,3000.0,0.0,Yes,Yes
1692,a. One  shield (Wooden) b. One tea set (eleven pieces) c. A  model  of  Crystal Butterfly,Crockery,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2006-11-28,24500.0,2175.0,Yes,Yes
1695,a. One 12 bore gun b. One wooden shield c. One brass shield,Weapons,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2006-11-28,25000.0,2250.0,Yes,Yes
1700,"One  Silver  Scribe’s pen  case  with  Inkwell (Dawat)  Ottoman Turkey, 19th Century",Pen,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2006-11-28,9000.0,0.0,Yes,Yes
1707,One  decoration  piece & Ladies suit,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2006-12-07,10000.0,0.0,Yes,Yes
1718,a. One dagger b. One  Wrist  watch Delma  (Gents) (No.467.312.1) c. One  wrist  watch Delma  Lady’s (No.667281),Watch,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2006-12-20,220000.0,15000.0,Yes,Yes
1725,One carpet,Carpet,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2006-12-21,35000.0,3750.0,Yes,Yes
1727,One  wrist  watch  (Van Der Bauwede Geneve),Watch,"Mr.  Zamir  Akram, Additional  Secretary (FSA),  Prime  Minister Sectt.",Bureaucracy,2006-12-21,30000.0,3000.0,Yes,Yes
1728,One  wrist  watch  (Van Der  Bauwede) (No.261 001 1525),Watch,"Brig.  Irfan  Azam, Military  Secretary  to  the Prime Minister MS to the Prime Minister",Military,2006-12-22,30000.0,3000.0,Yes,Yes
1735,Two  Ceramic Decoration Plates,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-01-09,1000.0,0.0,Yes,Yes
1736,a. One  Decoration Piece+ one CD b. Two  Badges Azerbaijan  +two CD’s,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-01-09,1000.0,0.0,Yes,Yes
1737,One Carpet,Carpet,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-01-09,0.0,1500.0,Yes,Yes
1745,a. One  wrist  watch (Van Der Bauwede) b. One  packet  coffee (for info),Watch,"Mr.  Jawed  Akhtar, Additional  Secretary  to, Prime Minister.",Bureaucracy,2007-01-10,30000.0,3000.0,Yes,Yes
1748,One Carpet,Carpet,"President  of  Pakistan, General Pervaiz Musharraf",Military,2007-01-15,5500.0,0.0,Yes,Yes
1753,a. One Ball Point b. Two  Spoon (Decoration Piece),Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-01-18,2500.0,0.0,Yes,Yes
1754,Four  Decoration Plates (Wall Hanging),Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-01-18,6000.0,0.0,Yes,Yes
1755,a. One  Gents  Wrist Watch  Rolex  (No. K605695 116519) b. One  Wrist  Watch Ladies  Brequet (No.44563),Watch,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-01-18,1300000.0,0.0,Auctioned,"Auctioned (a) For Rs.510,000/- (b) For Rs.936,500/-"
1759,One Flower Vase,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-01-22,3500.0,0.0,Yes,Yes
1763,One  Jewellary  Set  in 18Kt  gold  Diamond and Ruby i.e. a. One Necklace b. One Bracelet c. One  Pair  of  Ear Rings d. One Ring) e. One  Rifle  with accessories,"Jewellery, Weapons","President  of  Pakistan, General Pervaiz Musharraf",Military,2007-01-31,1480340.0,220551.0,Yes,Yes
1764,a. One  Beads (Tasbih)  in  18Kt Gold b. One  Decoration Piece,Decoration Pieces,"President  of  Pakistan, General Pervaiz Musharraf",Military,2007-01-31,18000.0,1200.0,Yes,Yes
1766,One  Wrist  Watch Rolex No. 114270,Watch,"Mr.  Zamir  Akram, Additional Secretary (FSA)",Bureaucracy,2007-02-06,250000.0,36000.0,Yes,Yes
1768,One  Wrist  Watch  Ebel (No.1955K41),Watch,"Lt.  Col.  Syed  Muhammad Adnan,  DMS  to  President (Deputy  Military  Secretary to the President)",Military,2007-02-07,60000.0,7500.0,Yes,Yes
1769,One  Wrist  Watch  Ebel (No.1955K41),Watch,"Lt.  Col.  Qazi  Muhammad Ikram, APS (C)",Military,2007-02-07,60000.0,7500.0,Yes,Yes
1770,One  Wrist  Watch  Ebel (No.1955K41),Watch,"Maj.  Shaheryar  Eqbal Saeed,  ADC  to  President, ADC (P)",Military,2007-02-07,60000.0,7500.0,Yes,Yes
1782,One Decoration Box,Decoration Pieces,"President  of  Pakistan, General Pervaiz Musharraf",Military,2007-02-15,7000.0,0.0,Yes,Yes
1802,One Carpet,Carpet,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-02-27,40000.0,4500.0,Yes,Yes
1803,One Flower Vase,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-02-27,1000.0,0.0,Yes,Yes
1816,One  Executive  Pen Drive,Tech,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-03-07,4000.0,0.0,Yes,Yes
1826,One  Decoration  Piece (Wall  Hanging  duly framed),Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-03-10,3000.0,0.0,Yes,Yes
1827,a. One Flower Vase b. One  Book  ‘the Reluctant Politician”,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-03-10,13000.0,450.0,Yes,Yes
1835,One  wrist  watch  (Van Der Bauwede),Watch,"Mr.  Javed  Akhtar,  Press Secretary  to  the  Prime Minister",Bureaucracy,2007-03-13,30000.0,3000.0,Yes,Yes
1836,a. One  wrist  watch (Van Der Bauwede) b. One  packet  of coffee,Watch,"Mr.  Sami  Saeed,  Press Secretary  to  the  Prime Minister",Bureaucracy,2007-03-15,30000.0,3000.0,Yes,Yes
1852,a. One  Cutlery  Set (24 Pieces) b. One Carpet,Carpet,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-03-20,55000.0,6750.0,Yes,Yes
1853,      One Carpet,Carpet,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-03-20,10000.0,0.0,Yes,Yes
1854,a. One Cap b. Four  Decoration Pieces c. Pair  of  lady’s Shoes d. One  Lady’s  Jacket (Embroidered),Clothes,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-03-20,6500.0,0.0,Yes,Yes
1857,a. One Carpet b. Three  Decoration Pieces  (Wall Hanging),Carpet,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-03-21,5000.0,0.0,Yes,Yes
1862,One  Wrist  Watch (Officina Del Tempo),Watch,"Lt.  Col.  Syed  Muhammad Adnan,  DMS  to  the President",Military,2007-04-03,20000.0,1500.0,Yes,Yes
1863,One  Wrist  Watch (Officina Del Tempo),Watch,"Cdr.  Amir  Saeed,  ADC  to President",Military,2007-04-03,20000.0,1500.0,Yes,Yes
1866,a. One  Book “Magnificent Pakistan” b. One  Decoration Piece with stand,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-04-03,6500.0,0.0,Yes,Yes
1869,One  Decoration  Piece with Stand,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-04-03,2500.0,0.0,Yes,Yes
1872,a. One  Flower  Vase with Base b. Five Photo Frames c. Three  Books  “A tradition  to Innovate”,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-04-03,6000.0,0.0,Yes,Yes
1881,One  small  Flower vase (Crystal),Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-04-11,4000.0,0.0,Yes,Yes
1884,One Gun,Weapons,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-04-11,2500.0,0.0,Yes,Yes
1887,One  tea  Set  (15 Pieces),Crockery,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-04-11,4500.0,0.0,Yes,Yes
1892,One Flower Vase,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-04-11,2500.0,0.0,Yes,Yes
1909,One  Wrist  Watch Titan (Sr.No.389 YAE),Watch,"Mr.  Zamir  Akram, Additional Secretary (FSA)",Bureaucracy,2007-04-19,2000.0,0.0,Yes,Yes
1912,One Decoration Piece,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-04-20,3500.0,0.0,Yes,Yes
1928,One Ball Pen,Pen,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-04-25,3000.0,0.0,Yes,Yes
1929,a. One Shield b. One Book c. One Flower vase,Decoration Pieces,"For  Begum  sahiba  of  Mr. Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-04-25,6000.0,0.0,Yes,Yes
1930,One Flower Vase,Decoration Pieces,"For Begum sahiba of Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-04-25,15000.0,0.0,Yes,Yes
1942,One Pen,Pen,"Brig.  Tahir  Mahmud  Malik, Military  Secretary  to  the Prime Minister",Military,2007-04-27,3200.0,0.0,Yes,Yes
1943,Wrist  Watch  Roberge in steel 18kt Gold,Watch,"Lt Cdr. Ahmed Farooq Butt, ADC to the Prime Minister",Military,2007-04-27,35000.0,3750.0,Yes,Yes
1947,One Tea Set (17 Pcs),Crockery,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-05-12,7000.0,0.0,Yes,Yes
1948,a. One  Fountain  Pen “Waterman Paris” b. One Neck Tie,Pen,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-05-12,4500.0,0.0,Yes,Yes
1959,"One  Table  Set containing (One paper tray,  One  pen  tray, One  paper  holder, Two boxes)",Pen,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-05-24,3000.0,0.0,Yes,Yes
1981,One  Wrist  Watch  Ebel (No.1955K41),Watch,"Maj.  Gen.  Akhtar  Iqbal, DCOS",Military,2007-06-21,60000.0,7500.0,Yes,Yes
1982,One  Wrist  Watch  Ebel (No.1955K41),Watch,"Brig.  Muhammad  Iftikhar Mansoor, DG (S)",Military,2007-06-21,60000.0,7500.0,Yes,Yes
1983,One  Wrist  Watch  Ebel (No.1955K41),Watch,"Col.  Muhammad  Ilyas,  CSO to President",Military,2007-06-21,60000.0,7500.0,Yes,Yes
1984,One  Wrist  Watch  Ebel (No.1955K41),Watch,"Lt.  Col.  Baber  Mumtaz, Addl. CSO to President.",Military,2007-06-21,60000.0,7500.0,Yes,Yes
1986,One  Wrist  Watch Techno marine,Watch,"Maj. Zafar Iqbal, MTO",Military,2007-06-21,35000.0,3750.0,Yes,Yes
1987,One  Wrist  Watch  Ebel (No.1955K41),Watch,"Maj. Mobeen  Umer  Farooqi, Security Officer",Military,2007-06-21,60000.0,7500.0,Yes,Yes
1988,One  Wrist  Watch  VIP Time,Watch,"Hav.  Tariq  Mahmood, Gunman SSG",Police,2007-06-21,10000.0,0.0,Yes,Yes
1989,One  Wrist  Watch  VIP Time,Watch,"Hav.  Muhammad  Anwar Gunman, SSG",Police,2007-06-21,10000.0,0.0,Yes,Yes
1990,One  Wrist  Watch  VIP,Watch,"L/NK  Naeem  Ishaq,",Military,2007-06-21,10000.0,0.0,Yes,Yes
1991,One  Wrist  Watch  VIP Time,Watch,"Sep.  Asif  Riaz,  Gunman, SSG",Police,2007-06-21,10000.0,0.0,Yes,Yes
1992,One  Wrist  Watch  VIP Time,Watch,"Sep.  Gul Zameen  Khan, Gunman, SSG",Police,2007-06-21,10000.0,0.0,Yes,Yes
2002,a. One ladies bag b. Jewlery Set c. Tasbih,"Bag, Jewellery/Accessories","Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-07-11,8500.0,0.0,Yes,Yes
2017,One Ceramic Vase,Decoration Pieces,"Dr.  Waqar  Masood  Khan, Special  Secretary  to  the Prime Minister",Bureaucracy,2007-07-25,1000.0,0.0,Auctioned,"Auctioned for Rs.1,632/-"
2019,One  Wrist  Watch (Montega) (EC-52),Watch,"Lt.  Col.  Syed  M.  Adnan, DMS to President",Military,2007-07-31,9500.0,0.0,Yes,Yes
2020,Wrist  Watch  (Royal Diamond No.23),Watch,"Col.  M.  Ilyas,  CSO  to President.",Military,2007-07-31,9500.0,0.0,Yes,Yes
2021,Wrist  Watch  (Bvlgari) (L58843),Watch,"Maj.  Shaheryar  Eqbal Saeed, ADC to President",Military,2007-07-31,75000.0,9750.0,Yes,Yes
2022,One  Wrist  Watch (Axlent),Watch,"Maj.  Asad  Farooq,  SO  to President",Military,2007-07-31,4000.0,0.0,Yes,Yes
2023,Wrist  Watch  (Axlent) (X13002),Watch,"Maj.  Tahir  Mahmood,  SO  to President.",Military,2007-07-31,4000.0,0.0,Yes,Yes
2024,Wrist  Watch  (Axlent) (Haparanda) (X13031),Watch,"Maj.  Israr  Ahmed  Khan, Protocol Assistant.",Military,2007-07-31,4000.0,0.0,Yes,Yes
2025,Wrist  Watch  (Axlent),Watch,"Hav.  Tariq  Mahmood,",Military,2007-07-31,4000.0,0.0,Yes,Yes
2026,Wrist  Watch  (Axlent) (Haparanda) (X13031),Watch,"L/NK  Naeem  Ishaq, Gunman",Military,2007-07-31,4000.0,0.0,Yes,Yes
2027,Wrist  Watch  (Axlent) (X1300),Watch,"L/NK  Rana  Ijaz  Ahmed, Gunman",Military,2007-07-31,4000.0,0.0,Yes,Yes
2028,Wrist  Watch  (Axlent) (X3312),Watch,"Sep. Asif Riaz, Gunman",Police,2007-07-31,4000.0,0.0,Yes,Yes
2029,Wrist  Watch  (Axlent) (Haparanda) (X13031),Watch,"Sep.  M.  Imran  Mushtaq, Gunman",Police,2007-07-31,4000.0,0.0,Yes,Yes
2030,Wrist  Watch  (Axlent) (X1300),Watch,"Sep. Gul Zamin, Gunman",Police,2007-07-31,4000.0,0.0,Yes,Yes
2033,a. One  Wrist  Watch Gio Monaco b. One  Wrist  Watch Tiffany,Watch,"Maj.  Gen.  Shafqaat Ahmed, Military  Secretary  to  the President and his wife.",Military,2007-08-01,160000.0,22500.0,Yes,Yes
2034,Two  Bags  of  Yemeni Coffee Beans,Food,"Ms.  Humaira  Hasan, Additional  Secretary,  M/o Foreign Affairs",Bureaucracy,2007-08-03,0.0,0.0,Gifts declared but not deposited,Gifts declared but not deposited
2035,One  wrist  watch (Bvlgari)  (No.AC,Watch,"Ms.  Humaira  Hasan, Additional Secretary,  M/o",Bureaucracy,2007-08-03,0.0,0.0,Gifts declared but not deposited,Gifts declared but not deposited
2038,One flower vase,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-08-05,6000.0,0.0,Yes,Yes
2047,One decoration piece,Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-09-01,3500.0,0.0,Yes,Yes
2048,One fountain pen with 10  ink  Cartridges (Blue),Pen,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-09-01,8000.0,0.0,Yes,Yes
2049,One  wrist  watch “LONGINES  No.  L4 709 4 33491024”,Watch,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-09-01,25000.0,2250.0,Yes,Yes
2053,a. One  stick  gun alongwith  (four Cartridges) b. One shield c. One  shield  (air Weapon Complex),Weapons,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-09-10,10000.0,0.0,Yes,Yes
2056,One Decoration piece (Wall Hanging),Decoration Pieces,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-09-10,5500.0,0.0,Yes,Yes
2057,a. One carpet b. One book “Iran”,Carpet,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-09-10,7000.0,0.0,Yes,Yes
2066,One wrist watch Rolex (No.118239),Watch,"Mr.  Shaukat  Aziz,  Prime Minister of Pakistan",Gen Mus,2007-09-27,1350000.0,201000.0,Yes,Yes
2070,One Flower Vase,Decoration Pieces,"Mr.  Atta  Mohammad  Raja, Additional  Secretary, Planning  &  Development Division",Bureaucracy,2007-10-03,2200.0,0.0,Yes,Yes
2077,Mont Blanc Pen Set,Pen,"Mr.  Nazir  Hussain,  Chief  of Protocol, Foreign Affairs",Military,2007-11-10,45000.0,5250.0,Yes,Yes
2079,Wrist  Watch  (Swiss Military) 20021-ST-IM,Watch,"Syed  Abbas  Ahsan, Superintendent  Police,  SP, Islamabad Police",Police,2007-11-10,15000.0,750.0,Yes,Yes
2086,One Onyx Vase,Decoration Pieces,"Mr.  Iftikhar  Anjum,  Deputy Chief  of  Protocol,  DCP, Foreign Affairs",Military,2007-12-10,1000.0,0.0,Yes,Yes
2110,One  w/watch  gents (TAG Heuer),Watch,"Syed  Masood  Alam  Rizvi, Cabinet Secretary,",Bureaucracy,2008-02-20,60000.0,7500.0,Yes,Yes
2111,One  w/watch  lady’s (TAG Heuer),Watch,Spouse  of  Cabinet Secretary,Bureaucracy,2008-02-20,25000.0,2250.0,Yes,Yes
2113,One  w/watch  gents (Tag Heuer),Watch,"Mr.  Jehangir  Bashar, Secretary Education",Bureaucracy,2008-02-26,55000.0,6750.0,Yes,Yes
2114,One  w/watch  lady’s (Tag Heuer),Watch,"Spouse  of  Secretary Education,  Mr.  Jehangir Bashar",Bureaucracy,2008-02-26,60000.0,7500.0,Yes,Yes
2115,One  w/watch  (Tag Heuer),Watch,"Daughter  of  Secretary Education,  Mr.  Jehangir Bashar",Bureaucracy,2008-02-26,60000.0,7500.0,Yes,Yes
2127,One  Wrist  Watch (Precious) (No.F.56055),Watch,"Inspector  Shujjat  Ali Babar  Gunman,  P.M. Sectt.",Police,2008-06-13,20000.0,1500.0,Yes,Yes
2129,One  Wrist  Watch  (Gio Monaco),Watch,"NK  Ghulam  Akbar,  SSG Gunman, P.M. Sectt.",Military,2008-06-13,30000.0,3000.0,Yes,Yes
2130,One  Wrist  Watch Faconnable,Watch,"H/constable Pervaiz  Khan, P.M Sectt.",Police,2008-06-13,24000.0,2100.0,Yes,Yes
2131,One  Wrist  Watch (LOCMAN),Watch,"Constable  M.  Amir  Khan, Gunman,  Prime  Minister",Police,2008-06-13,22000.0,1800.0,Yes,Yes
2132,One  Wrist  Watch (Hamilton),Watch,"Sep.  Shahid  Ibrar  SSG Gunaman,  Prime  Minister Sectt.",Police,2008-06-13,30000.0,3000.0,Yes,Yes
2133,One  wrist  watch (Precious),Watch,"Mr. Rafaqat  Hussain  TV Engineer, PTV World",Media,2008-06-17,20000.0,1500.0,Yes,Yes
2134,One  Wrist  Watch (Hamilton),Watch,"Mr.  Haroon  Rashid, Cameraman APP",Media,2008-06-19,30000.0,3000.0,Yes,Yes
2142,One  Wrist  Watch (Precious),Watch,Syed  Ali  Adnan  Rizvi Photographer PID,Media,2008-07-08,20000.0,1500.0,Yes,Yes
2146,One  Wrist  watch Locman,Watch,"Wing  Cdr.  Waqar  Ahmed, DMS to Prime Minister",Military,2008-07-18,22000.0,1800.0,Yes,Yes
2148,One  Wrist  watch LOCMAN,Watch,"Sqn  Ldr  Shahzad  Fatah, ADC to Prime Minister",Military,2008-07-18,22000.0,1800.0,Yes,Yes
2149,One  Wrist  watch LOCMAN,Watch,"Capt.  Tahira  Mubarik, Lady  Nursing  Assistant Prime Minister Sectt.",Military,2008-07-22,22000.0,1800.0,Yes,Yes
2151,One  Wrist  Watch (Michael Mondo),Watch,"Mr.  Nazir  Hussain,  Chief of Protocol, Prime Minister Sectt.",Military,2008-08-25,18000.0,1200.0,Yes,Yes
2152,One  Wrist  watch Faconable  (FGPT 002296),Watch,"Syed  Ahsan  Raza,  Deputy Chief  of  Protocol,  Prime Minister Sectt.",Military,2008-09-04,24000.0,2100.0,Yes,Yes
2154,One Ceramic Vase,Decoration Pieces,"Mr.  Asif  Ali  Zardari, President of Pakistan",PPP,2008-10-23,5500.0,0.0,Yes,Yes
2158,Red  box  containing Ceramic vase,Decoration Pieces,"Mr.  Asif  Ali  Zardari, President of Pakistan",PPP,2008-10-23,4500.0,0.0,Yes,Yes
2160,Box  containing  02  x ceramic vases,Decoration Pieces,"Mr.  Asif  Ali  Zardari, President of Pakistan",PPP,2008-10-23,6000.0,0.0,Yes,Yes
2162,Box  containing  Vase with dragon on it,Decoration Pieces,"Mr.  Asif  Ali  Zardari, President of Pakistan",PPP,2008-10-23,5000.0,0.0,Yes,Yes
2163,Box  containing ceramic  vase  in mahroon Color,Decoration Pieces,"Mr.  Asif  Ali  Zardari, President of Pakistan",PPP,2008-10-23,3500.0,0.0,Yes,Yes
2168,One  box  containing Ceramics vase,Decoration Pieces,"Mr.  Asif  Ali  Zardari, President of Pakistan",PPP,2008-10-23,2500.0,0.0,Yes,Yes
2173,Large  box  containing vase,Decoration Pieces,"Brig.  Mian  Muhammad Halal  Hussain,  MS  to President, MS (P)",Military,2008-10-23,2500.0,0.0,Yes,Yes
2174,Large  box  containing vase,Decoration Pieces,"Lt.  Col.  Syed  Muhammad Adnan, DMS (P)",Military,2008-10-23,2500.0,0.0,Yes,Yes
2176,Large  Box  containing vase,Decoration Pieces,"Lt.  Col.  Babar  Mumtaz, CSO (P)",Military,2008-10-23,2500.0,0.0,Yes,Yes
2177,Large  box  containing vase,Decoration Pieces,"Maj  Muhammad  Nadeem Butt, SO (P)",Military,2008-10-23,2500.0,0.0,Yes,Yes
2185,Silver vase,Decoration Pieces,"Mr.  Ghalib  Iqbal,  Chief Protocol,  M/o  Foreign Affairs",Military,2008-11-06,7000.0,0.0,Yes,Yes
2188,"One  wrist  watch, Hamilton",Watch,Military  Secretary  to  the President of Pakistan,Military,2008-12-02,65000.0,8250.0,Yes,Yes
2189,"a. One  model  of Horse b. One  wrist  watch, (Giovanni Ferraris)",Watch,"Mr.  Asif  Ali  Zardari, President of Pakistan",PPP,2008-12-02,540000.0,79500.0,Yes,Yes
2190,One  wrist  watch (Baume & Mercier),Watch,"Maj.  Gen.  Tassawar Hussain, PP (P)",Military,2008-12-02,130000.0,18000.0,Yes,Yes
2191,One  wrist  watch (Baume & Mercier),Watch,"Brig.  Mian  Muhammad Hilal  Hussain,  Military Secretary  to  the President, MS (P)",Military,2008-12-02,130000.0,18000.0,Yes,Yes
2192,One  wrist  watch  (Tag Heuer),Watch,"Lt.  Col.  Syed  M.  Adnan, DMS (P), President Sectt.",Military,2008-12-02,90000.0,12000.0,Yes,Yes
2193,"One box containing wrist  watch,  pair  of",Watch,Lt.  Col.  Baber  Mumtaz CSO to President,Military,2008-12-02,25000.0,2250.0,Yes,Yes
2194,One  wrist  watch  (Tag Heuer),Watch,"Sqn  Ldr.  Malik  Jalal Farooq, ADC to President ",Military,2008-12-02,90000.0,12000.0,Yes,Yes
2195,"One box containing wrist  watch,  pair  of cufflinks  pen  &  tie (Ven Der Bauwede)",Watch,"Mr. Sohail Ali Khan, DPR",Police,2008-12-02,25000.0,2250.0,Yes,Yes
2197,"One  box  containing wrist  watch,  pair  of cufflinks  pen  &  tie (Ven Der Bauwede)",Watch,"Hav.  Muhammad  Jamil, Gunman",Police,2008-12-02,25000.0,2250.0,Yes,Yes
2198,"One  box  containing wrist  watch,  pair  of cufflinks  pen  &  tie (Ven Der Bauwede)",Watch,Hav. Sabz Ali Khan,Police,2008-12-02,25000.0,2250.0,Yes,Yes
2199,"One  box  containing wrist  watch,  pair  of cufflinks  pen  &  tie (Ven Der Bauwede)",Watch,"Sep.  M.  Habib  Sultan, Gunman",Police,2008-12-02,25000.0,2250.0,Yes,Yes
2200,"One  box  containing wrist  watch,  pair  of cufflinks  pen  &  tie (Ven Der Bauwede)",Watch,"Sep.  Sajid  Hussain, Gunman",Police,2008-12-02,25000.0,2250.0,Yes,Yes
2201,"One  box  containing wrist  watch,  pair  of cufflinks  pen  &  tie (Ven Der Bauwede)",Watch,"Sep.  Farmanullah, Gunman",Police,2008-12-02,25000.0,2250.0,Yes,Yes
2204,a. One  Model  of Horse  Neck (Decoration piece) b. One  pistol  with accessories,Weapons,"Mr.  Asif  Ali  Zardari, President  of Pakistan",PPP,2009-01-15,150000.0,9750.0,Yes,Yes
2206,One  wrist  watch Gents POG,Watch,"Mr.  Zafar  Mehmood, Secretary Petroleum",Bureaucracy,2009-01-23,25000.0,2250.0,Yes,Yes
2211,"a. One wrist watch, b. One dagger. c. One pen d. Pair of cufflinks e. One Tasbih",Watch,"Mr.  Asif  Ali  Zardari, Co-Chairman  of PPPP",PPP,2009-02-02,383500.0,56025.0,Yes,Yes
2218,"a. One  wrist  watch, gent’s, b. One  wrist  watch ladies. c. One pen d. Pair of ear rings e. Pair of cufflinks f. One ring g. One bracelet",Watch,"Ms.  Mehreen Razzaque  Bhutto, MNA",PPP,2009-02-02,211300.0,30195.0,Yes,Yes
2220,One  Wrist  watch (POG),Watch,"Mr. M. Younas Khan, Cameraman, PTV",Media,2009-02-10,25000.0,2250.0,Yes,Yes
2221,a. One  gun (Winchester 30-30) b. One  pistol  (Czech 6.35),Weapons,"Mr.  Asif  Ali  Zardari, President  of Pakistan",PPP,2009-02-14,200000.0,13500.0,Yes,Yes
2223,One Carpet,Carpet,"Brig.  Mian Muhammad  Hilal Hussain,  Military Secretary  to  the President, MS (P)",Military,2009-02-14,10000.0,0.0,Yes,Yes
2224,One Carpet,Carpet,"Lt.  Col  Syed Muhammad  Adnan, DMS  to  the President",Military,2009-02-14,10000.0,0.0,Yes,Yes
2225,One Carpet,Carpet,"Sqn.  Ldr.  Malik  Jalal Farooq, ADC (Air) to the President",Military,2009-02-14,10000.0,0.0,Yes,Yes
2226,One Carpet,Carpet,"Maj.  Imran  Haider, ADC  (Army)  to  the President",Military,2009-02-14,10000.0,0.0,Yes,Yes
2227,One Carpet,Carpet,"Maj.  Gen.  Tassawar Hussain,  PP(P)  to the President",Military,2009-02-14,10000.0,0.0,Yes,Yes
2228,One Carpet,Carpet,"Lt.  Col.  Babar Mumtaz,  CSO  to  the President",Military,2009-02-14,10000.0,0.0,Yes,Yes
2229,One Carpet,Carpet,"Lt.  Col.  Adil Rehmani,  SO  (P)  to the President",Military,2009-02-14,10000.0,0.0,Yes,Yes
2239,One Carpet,Carpet,"Mr.  Ghalib  Iqbal, Chief  of  Protocol Foreign Affairs",Military,2009-03-04,10000.0,0.0,Yes,Yes
2240,One Carpet,Carpet,"Mr. Amjad Aziz Qazi, Dy  Chief  of  Protocol Foreign Affairs",Military,2009-03-04,10000.0,0.0,Yes,Yes
